author_id;author_name;paper_id;paper_title
0;Makoto Satoh;713dc931-1846-486f-b9ec-287c2e81864d;fir filter design on flexible enginegeneric alu array and its dedicated synthesis algorithm
0;Makoto Satoh;dd7c908a-2d97-4220-ac03-fce737bcf0e7;algorithmic thinking learning support system with eassessment function
0;Makoto Satoh;1d31eadf-7bd3-449c-8ce0-19f5292d08f7;analysis of twolevel data mapping in an hpf compiler for distributedmemory machines
0;Makoto Satoh;ac10ade0-e463-4d20-b401-6c8825fde92b;a high speed database machine hdm and its performance evaluation
0;Makoto Satoh;00127ee2-cb05-48ce-bc49-9de556b93346;preliminary design of a network protocol learning tool based on the comprehension of high school students design by an empirical study using a simple mind map
2;Mizue Kayama;6341b8fe-c4dc-4525-b2b8-cb70e6cd28a2;knowledge management framework for collaborative learning support
2;Mizue Kayama;f75bde95-5d0e-4931-8df9-1aa8aa78c581;the integrated elearning system rapsody based on distance ecology model and its practice
2;Mizue Kayama;f6642978-4935-4b34-b832-1d34da6e17be;the distance ecological model to support selfcollaborativelearning in the internet environment
2;Mizue Kayama;f11dfcff-ab11-4b9a-a340-54775ad0d37c;collaborative learning support knowledge management for asynchronous learning networks
2;Mizue Kayama;ee85d65c-cd1c-4807-88d4-333c327ec02d;instructional expertise for phrase singing and its application for a chorus learning support system
2;Mizue Kayama;b934e3cf-fcbf-4fbf-9654-09bcc57e3a97;collaborative learning and technological environment for evoking interactivitybuilding of knowledge
2;Mizue Kayama;8c71253c-7e08-4202-ba53-51d2f34558a3;future integrated learning environments with multimedia
2;Mizue Kayama;76ce63ea-8949-40d1-bdca-a3c3eb67bebf;the organizational knowledge circulated management on elearning practices in universities  through the case study in uec
2;Mizue Kayama;48c9f0fb-c737-46cc-ad28-c4d6e772f40f;a knowledge based navigation system with a semantic map approach
2;Mizue Kayama;48e7d5bd-2fd6-4029-bf77-e0365fa8336a;a realtime network board game system using tactile and auditory senses for the visually impaired
2;Mizue Kayama;3ec161f6-acf0-4008-8dfc-5f77e56c8452;proposal of a collaborative learning standardization
2;Mizue Kayama;3f16b3c6-d50c-486f-903f-436bb4fe4cf7;the knowledge management for collaborative learning support in the internet learning space
2;Mizue Kayama;f6866dc9-124c-4a4d-b0de-a4c89d9779c9;active learning based on contentssharable management system  its functions and practices
2;Mizue Kayama;dd7c908a-2d97-4220-ac03-fce737bcf0e7;algorithmic thinking learning support system with eassessment function
2;Mizue Kayama;a2485fe5-d024-4f9f-ba69-96839323c2a7;effectiveness of modeldriven development in conceptual modeling education for university freshmen
2;Mizue Kayama;9e261821-f347-4bb3-96c7-6fc8364f7b5e;lets go magical spoons a high school learning program for information coding fundamentals
2;Mizue Kayama;7f71b9c2-7e40-4228-8f4e-35743593c839;a drawing learning support system based on the drawing process model
2;Mizue Kayama;5a8e0ca7-deb9-4fd8-900b-2bd36b14ba07;sound image localization using dynamic transaural reproduction with noncontact head tracking
2;Mizue Kayama;44b17e8f-578e-41f1-b9fe-1ed8cd239424;a chorus learning support system based on the tutoring knowledge of the chorus leader
2;Mizue Kayama;60b42873-6420-4149-8a5b-0f19400b86a5;the knowledgenavigation system in hyperspace with neural networks
2;Mizue Kayama;00ef10d5-b727-451c-a127-94a4b1dbc30b;exploratory activity support based on a semantic feature map
2;Mizue Kayama;f0013b9c-6243-41aa-80e8-e036a9132ac9;a multimodal board game system interface using finger input for visually impaired computer users
2;Mizue Kayama;ddef0a38-5755-4ea6-ac8a-98fa62e158ce;knowledge repository oriented elearning system and its evaluation for a cooperative linkage between university and industry
2;Mizue Kayama;d5d6d27b-187e-416c-b2ca-a592562086ed;a basic study on a drawinglearning support system in the networked environment
2;Mizue Kayama;7dd3911f-1e03-49ca-b522-cf85c956e040;the learning grid for knowledge building
2;Mizue Kayama;746b2d8c-0bd5-4f8f-ab94-0c7d079c3253;the model of collaborative learning grid to activate interactivity for knowledge building
2;Mizue Kayama;140b0229-912f-4d9a-bbec-82f186348e4f;the collaborative learning support in the internet learning space
2;Mizue Kayama;a6ca0d89-a85e-4c35-915a-24087787e85a;lapchat a contentssharable management system for computer supported collaborative learning
2;Mizue Kayama;c6d82afc-562e-48d4-87ff-92dfb05fae6c;a collaborative environment for new learning ecology and epedagogy
2;Mizue Kayama;138efa59-c1a1-4c62-b0ce-00cfc32d16ad;elearning environment
2;Mizue Kayama;cc29269c-c48d-4591-a1b9-5418d8130074;a drawing learning support system with autoevaluating function based on the drawing process model
2;Mizue Kayama;00127ee2-cb05-48ce-bc49-9de556b93346;preliminary design of a network protocol learning tool based on the comprehension of high school students design by an empirical study using a simple mind map
3;Kazunori Itoh;ee85d65c-cd1c-4807-88d4-333c327ec02d;instructional expertise for phrase singing and its application for a chorus learning support system
3;Kazunori Itoh;8800bc86-ce22-42c4-878b-3d33d310253d;realization of direct manipulation for visually impaired on touch panel interface
3;Kazunori Itoh;48e7d5bd-2fd6-4029-bf77-e0365fa8336a;a realtime network board game system using tactile and auditory senses for the visually impaired
3;Kazunori Itoh;f218ed0d-f9ec-4b97-9091-9fbfd4795d5f;quantitative evaluation using eeg for influence of meaningful or meaningless noise on participants during mental tasks
3;Kazunori Itoh;7f71b9c2-7e40-4228-8f4e-35743593c839;a drawing learning support system based on the drawing process model
3;Kazunori Itoh;5a8e0ca7-deb9-4fd8-900b-2bd36b14ba07;sound image localization using dynamic transaural reproduction with noncontact head tracking
3;Kazunori Itoh;44b17e8f-578e-41f1-b9fe-1ed8cd239424;a chorus learning support system based on the tutoring knowledge of the chorus leader
3;Kazunori Itoh;1d335f89-d234-4d0e-aa6c-cefd85eba2fb;an input interface system using vep for the physically challenged
3;Kazunori Itoh;edda3d8e-b11b-4586-a348-372d2fedd0b9;simple pattern creation using a pen input guide and sound localization for the visually impaired
3;Kazunori Itoh;f0013b9c-6243-41aa-80e8-e036a9132ac9;a multimodal board game system interface using finger input for visually impaired computer users
3;Kazunori Itoh;d5d6d27b-187e-416c-b2ca-a592562086ed;a basic study on a drawinglearning support system in the networked environment
3;Kazunori Itoh;d85cea23-476d-46dd-b7c4-ad80c9102e1b;interface of online minigogame with pen input guide for the blind
3;Kazunori Itoh;d1e7767f-5d68-490e-a0e9-7ec60c06800f;projective display of document information by parametric sound beam
3;Kazunori Itoh;729bde4b-3aee-4f1b-8fe4-5ba699d013bc;transmission of acoustic information of percussion instruments through tactile sensation using airjet stimulation for hearing impaired person
3;Kazunori Itoh;16c6ccd7-faf3-4df0-b8ba-31e8bd41de79;pattern representation system using movement sense of localized sound
3;Kazunori Itoh;6c276019-7382-43f6-b7ae-c4ba749ada4e;distance communication system for the blind using sound images
3;Kazunori Itoh;eb6b5a4e-c39a-4cfb-b6eb-c7259cd0b803;a drawing support system for the visually impaired computer user using a virtual sound screen
